company_name,title,content
サイバーエージェント,vision | 21世紀を代表する会社を創る,"Mission Statement

インターネットという成長産業から軸足はぶらさない。

ただし連動する分野にはどんどん参入していく。

オールウェイズFRESH!

能力の高さより一緒に働きたい人を集める。

採用には全力をつくす。

若手の台頭を喜ぶ組織で、年功序列は禁止。

スケールデメリットは徹底排除。

迷ったら率直に言う。

有能な社員が長期にわたって働き続けられる環境を実現。

法令順守を徹底したモラルの高い会社に。

ライブドア事件を忘れるな。

挑戦した敗者にはセカンドチャンスを。

クリエイティブで勝負する。

「チーム・サイバーエージェント」の意識を忘れない。

世界に通用するインターネットサービスを開発し、グローバル企業になる"
サイバーエージェント,Purpose | 新しい力とインターネットで日本の閉塞感を打破する,"あらゆる産業のデジタルシフトに貢献する

新しい未来のテレビABEMAを、いつでもどこでも繋がる社会インフラに

テクノロジーとクリエイティブの融合で世界に挑戦する

年功序列を排除し、21世紀型の日本的経営を体現する

時代の変化に適合し、グローバルカンパニーを目指す

インターネットを通じて日本を元気に"
DeNA,"MISSION | 一人ひとりに
想像を超えるDelightを","夢中になって遊ぶ愉しさ、日々実感する確かな便利さ
かけがえのない健やかさ、そして世界があっと驚く新しさ

私たちがつくるDelightは、さまざまな形で生活に寄り添い
人生を彩り豊かにします

技術と情熱をもって、挑戦と変化を楽しみ
世界にひろがる、未来につながるDelightを届け続けます"
DeNA,VISION,"DeNAは、インターネットやAIを自在に駆使しながら
一人ひとりの人生を豊かにするエンターテインメント領域と
日々の生活を営む空間と時間をより快適にする社会課題領域の
両軸の事業を展開するユニークな特性を生かし
挑戦心豊かな社員それぞれの個性を余すことなく発揮することで
世界に通用する新しいDelightを提供し続けます"
Gree,Mission | インターネットを通じて、世界をより良くする。,"「インターネットを通じて、世界をより良くする。」
そんな使命感と情熱の中でグリーは始まりました。その始まりの日から、インターネットの新たな可能性を開拓しより早くより多くの人に提供するために、行動を続けています。新しい挑戦は常に成功するものではありません。しばしば結果の出ないこともあります。
それでもなお、そこに少しでも可能性がある限り、挑戦をやめることはありません。
インターネットが世の中に与える変化は、まだ始まったばかりです。いくつもの可能性が、未だ可能性のまま残されています。グリーはこれらの可能性を実現すべく、使命感と情熱を行動に移します。
より楽しく幸せな毎日のために。より効率的で自由公平な社会のために。
インターネットを通じて、世界をより良くするために。"
Gree,Vision(目指す姿),"毎日を楽しく幸せに、社会を自由で効率的に。
インターネットは単にものごとを速く・便利にするだけではありません。
我々はメールやSNSを通じ、インターネットが登場する以前よりはるかに多くの家族や友人、大切な人たちと心を通わせる事ができます。また旧弊な体制に縛られること無く多種多様な情報に自らアクセスし、考え、判断し、新たな一歩を踏み出す事ができるようになっています。
我々はインターネットサービスを通じて人々が過ごす毎日をより楽しく幸せに、私たちの社会をもっと自由で効率的にしていく事を使命としています。

新しいサービスをより早く、より多くの人へ。
インターネットの普及はそれまで不可能とされた多くのことを可能にし、人々の生活や社会に大きな影響を与えてきました。今ではもう、Webやメールが無い時代などは想像もできない過去となりつつあります。
しかし、インターネットが世の中に与える変化はまだ始まったばかりです。多くの可能性が実現されずに未だ可能性のまま残されています。
それを1つでも多くサービスという形で生みだし、それを通じて1秒でも早く世の中を変え、それを1人でも多くの人に利用してもらいたい。
我々は、そこに使命を感じ、情熱をかけて取り組んでいます。

素晴らしいサービスを生み出すために素晴らしい会社を作る。
どんな革新的なアイデア、優れた技術、豊富な資金があっても、1人ではそれを実現できないことを我々は知っています。多くの仲間が集まり、苦難を乗り越える中で練り上げられる素晴らしいチームがあってこそ、素晴らしいサービスは生み出されるのです。
素晴らしい会社を作ることは、素晴らしいサービスを作るための第一歩です。
多少の語弊を恐れずに言うならば、我々は全ての人の要求に応えられるような「素晴らしい会社」を目指しているわけではありません。作ったサービスが誰からも否定されることもあるでしょう。
高い目標を持ち、未知なことに取り組み、新しい価値を生み出していこうとすれば、おそらく間違いなく、失敗が毎日続くことも、成功する確率が何もないような暗い気持ちになることもあるでしょう。世の中にないサービスを生み出すことは、簡単なことではありません。しかし、それを知っていても可能性のある限り挑戦してしまうような、そういう人たちだけが新しい価値を創造していくのです。
我々は、そんな可能性がある限り挑戦してしまう人たちにとって、最も素晴らしい会社を作ることを通じて、社会に新しい価値を創造していきます。"
Gree,Value(行動規範),"ロジカル × クリエイティブ × スピード。
ロジカルであること、クリエイティブであること、スピードがあること。
どれが欠けてもグリーでは価値のある仕事になりません。事業の状況によって優先度は異なっても、3つの要素はトレード・オフの関係にはなく、3つの要素の掛け算の結果を大きくすることが大事です。3つの要素の内どの要素が欠けても掛け算の結果は大きくはならないのです。

現状に甘んじない。さらに高い目標をめざす。
どんなに優秀な人材や組織でも、その時点で満足してしまったら成長は止まります。
常に現状よりもストレッチした高い目標を立て、それに向かって努力することで、飛躍的な成長を実現することができます。

常に前向きに挑戦する。成功するまでやり続ける。
高い目標を実現するためには様々な障害が立ちはだかるのが常です。そこでいつも環境や人のせいにして諦めるのではなく、強い意志を持って前向きに挑戦することによって、不可能と思えることを可能にします。
執念を持って粘り強く挑み続けることで、不可能と思えた成功を勝ち取ることができます。

一流の仲間を集め一流のチームを作る。
素晴らしいサービスを作り出していくためには、一流のチームが必要です。そのためにはまず、社内外で最高の仲間を集め、目標に向かって巻き込んでいく必要があります。
そして、全員で採用と育成にコミットし、お互いをよく知り、高め合い、継続的に最大限の成果を生み出せるチームを作り上げていきます。

人に、社会に、仕事にまじめ。
お客さまに誠実に接し、素晴らしいサービスで喜んでもらえなければグリーは存在し続ける意味がありません。グリーで働く仲間、取引先の皆様、社会全体に対して誠実でなければグリーは存在し続ける意味がありません。
規律を重んじて、自分たちで決めたことは守り、誠実に仕事をしていくことで、自由な発想を活かしながら、全員で力を合わせて継続的な成功を勝ち取ることができます。
"
メルカリ,"ミッション | あらゆる価値を循環させ、
あらゆる人の可能性を広げる",「限りある資源を循環させ、より豊かな社会をつくりたい」。創業者である山田進太郎が世界一周の旅で抱いた、そんな問題意識によって生まれたのがフリマアプリ「メルカリ」です。テクノロジーの力によって、世界中の個人と個人をつなぎ、誰もが簡単にモノの売り買いを楽しめる。それにより資源を循環させる豊かな社会、個人がやりたいことを実現できる社会をつくっていきたいと考えています。
メルカリ,バリュー,"メルカリには、ミッションを達成するために大切にしている3つのバリューがあります。
 
 
Go Bold
大胆にやろう

世の中に大きなインパクトを与えるイノベーションを生み出すためには、メンバー全員が前例にとらわれず、大胆にチャレンジすることが大切です。そのためには挑戦を続け、数多くのトライアル・アンド・エラーを繰り返し、失敗から学びを得ることが重要です。常に会社や自身のビジョン、あるべき姿を見失わず、周囲をリードしながら、ミッションの達成を目指します。
 
All For One
全ては成功のために

大きな成功を得るためには、チームの力を合わせることはもちろん、やるべきことを見極め、決定したことに全員でコミットすることが大切です。また、メンバー全員が手段や役割に固執せず、成功するために何が必要で、何を求められているのかを考え抜き、パフォーマンスを最大限に発揮することで、ミッションの達成を目指します。
 
 
Be a Pro
プロフェッショナルであれ

一人ひとりがその道のプロフェッショナルとして高い専門性を持ち、日々の学びを怠らない姿勢は、個人のみならずチームに良い影響を及ぼします。自らを高めるためには高度なスキルとポジティブなマインドの両方を持ち、行動に移すことが重要です。自らの仕事にオーナーシップと責任を持ち、成果や実績にコミットすることでミッションの達成を目指します。"
楽天,企業理念,"楽天グループは、「イノベーションを通じて、
人々と社会をエンパワーメントする」ことをミッションとしています。

ユーザーや取引先企業へ満足度の高いサービスを提供するとともに、
多くの人々の成長を後押しすることで、社会を変革し豊かにしていきます。

「グローバル イノベーション カンパニー」であり続けるというビジョンのもと、
企業価値・株主価値の最大化を図ってまいります。"
