企業名,title,cocntent
サイバーエージェント,女性活躍促進制度 macalonパッケージ,社員が長く継続して働くことができる職場環境の向上を目指して9つの制度をパッケージ化した独自制度。「ママ（mama）がサイバーエージェント（CA）で長く（long）働く」という意味がある。
サイバーエージェント,家賃補助制度 2駅ルール・どこでもルール,"勤務しているオフィスの最寄駅から各線2駅圏内に住んでいる正社員に対し月3万円、勤続年数が丸５年を経過した正社員に対してはどこに住んでいても月5万円の家賃補助を支給。
"
サイバーエージェント,リフレッシュ休暇 休んでファイブ,心身のリフレッシュ、そしてさらなるチャレンジを目的に、入社3年目以上の社員が毎年5日間の年次有給休暇を取得できる。
サイバーエージェント,退職金制度（勤続インセンティブ）,一定条件での退職時に支給される勤続インセンティブ制度。30歳から積立を開始し、勤続10年以上、40歳から受け取ることが可能です。 当社業績と連動し営業利益の一定率を配分する。
サイバーエージェント,CArcle（部活動）,会社の承認を受けた部活動のこと。会社規模が大きくなり、事業部を越えたナナメの関係を作る機会が減っている今だからこそ、CArcleを通じて仕事以外の関係を作り、ライトな横軸での社員同士の関わりをCArcleがサポート。
サイバーエージェント,メンタルヘルス,"＜産業医面談＞
社員が健康で快適な環境のもと、能力を十分に発揮して仕事に取り組めるよう、随時専属産業医との面談を実施。
＜カウンセリング＞
月に一度、希望者を対象に臨床心理士資格を持ったカウンセラーとの面談機会を設けています。公私を問わず、多様なコミュニケーションの課題に対しカウンセリングを通して解決への糸口を見つけていきます。プライバシーの保護のため、相談内容について会社側は一切フィードバックを受けない
また新入社員全員を対象として、入社初年度に年二回、カウンセラーとの面談を実施しています。仕事の状況や心身のコンディションについて専門家によるヒアリングを行い、適材適所やさらなるチャレンジにつながる環境づくりのきっかけとしている"
サイバーエージェント,健康診断,病気の早期発見、健康状態の把握のため、グループ全社員が年1回の健康診断を受診する。健診結果に応じて産業医と連携してフォローアップを行い、社員の健康ケアを行っている。
サイバーエージェント,テレワーク環境の整備,IDによるセキュリティ管理、セキュリティ管理を行っている安全な経路を使ったVPN回線の提供、多人数の同時接続によるVPN回線の遅延回避対策、ビデオ会議システムの導入、業務用フォルダのクラウド化など、社員がどこにいてもストレスなく業務を継続でき、パフォーマンスを維持できる環境を整えている。
サイバーエージェント,マッサージルーム,無料で月4回（週1回×4）まで専属のマッサージ師による施術が受けられるマッサージルームを、すべてのオフィスに完備している。
DeNA,CHO（Chief Health Officer）室,社員のパフォーマンスを健康面からサポートする専門部署。運動・食事・睡眠・メンタルの４分野においてアンケートから見える課題を中心に取り組んでいます。
DeNA,健康管理室,健康相談や体調不良の相談ができる産業医及び保健師が常駐しています。毎週出勤するカウンセラーにキャリアや心身の全般について相談することもできます。
DeNA,子育て・家族支援,基本的な保険制度に加え、保養施設やスポーツ施設の利用など、保険組合独自の福利厚生プランの活用が可能です。
DeNA,年次有給休暇,入社日に最大12日付与されます（※入社初年度は入社時期により付与される有給休暇日数は変動します）。以後、毎年4月1日に在籍期間に応じて最大20日付与されます。
DeNA,積立休暇制度,育児・学校行事・介護・私傷病・不妊治療・妊娠等のライフイベントに安心して臨める仕組みとして、未消化の有給休暇のうち、失効する分を1日単位で毎年10日を上限に（最大 60日）積立て、用途を限り利用することができます。
DeNA,休暇・休職制度,生理休暇、母性管理休暇、通院休暇、休職制度をご用意しています。（期間条件が異なります）。
DeNA,結婚祝い金,"社員が結婚した際にお祝い金10,000円が支給されます。"
DeNA,産前・産後休暇,産前は6週間（多胎の場合14週間）、産後は8週間、休暇を取ることができます。
DeNA,ベビーケア休暇,配偶者が出産した際、年次有給休暇とは別に、出産予定日または出産日前後に5日間の有給休暇を取得することができます。
DeNA,出産祝い金,"社員に子どもが生まれた際にお祝い金1人につき10,000円が支給されます。"
DeNA,育児休業,子どもが1歳になるまで、育児のために休業することができます。
DeNA,育休復職サポート手当,"産前・産後休暇を取得した女性社員、または連続して2ヶ月以上の育児休業を取得した男性社員の復職に際し、子どもが満1歳6ヶ月になるまでの間、保育料補助として毎月20,000円が支給されます。"
DeNA,児童手当,"本人または配偶者の子どもが18歳に達する日以後の最初の3月31日になるまで、1人につき5,000円/月、第3子以降1人につき10,000/月が支給されます。"
DeNA,子の看護休暇,子ども（小学校3年生まで）の怪我・病気の看護や予防接種・健康診断の付き添い等の際に、年次有給休暇とは別に、1年間につき子1人の場合は5日間、2人以上の場合は10日間を限度として有給休暇を取得することができます。
DeNA,ベビーシッター補助,入会金・年会費・利用料の一部を会社が負担する形で、ベビーシッターサービスを安価に利用することができます。
DeNA,出張シッター手当,育児中でも安心して出張に行けるよう、出張に伴い子どもを預ける必要がある場合に追加で発生するベビーシッター等の費用の補助を受けることができます。
DeNA,ベビーシッター割引券,"公益社団法人全国保育サービス協会が発行するベビーシッター割引券を利用することにより、1回2,200円の割引を受けることができます。"
DeNA,介護休暇,要介護状態にある家族の介護をするため、年次有給休暇とは別に、1年間につき対象家族が1人の場合は5日間、2人以上の場合は10日間を限度として有給休暇を取得することができます。
DeNA,慶弔休暇,規定に沿って付与されます。
DeNA,確定拠出年金/確定給付年金,2つの企業年金があり、希望者は自身のライフプランに合わせて、選んだり組み合わせることができます。
DeNA,持株会,希望者に対して自社株取得を容易にし、財産形成を助成する制度で、拠出金に応じた奨励金も付与しています。
DeNA,各種従業員割引制度,"住宅仲介手数料、金融機関金利引き下げなど、各種割引があります。
※割引内容によって適用対象が異なります。"
